,similarity_scores_80,similarity_scores_85,similarity_scores_90,similarity_scores_95
Private Beach Area,"['Private Beach Area', 'Private beach', 'Beach Nearby', 'Beach view', 'Beach activities', 'Private Pool']","['Private Beach Area', 'Private beach']","['Private Beach Area', 'Private beach']",['Private Beach Area']
Sun Beds (pool),"['Sun Beds (pool)', 'Sun Terrace', 'Pool Terrace', 'Sun Beds', 'Sun beds', 'Sun terrace', 'Beach sun loungers']","['Sun Beds (pool)', 'Sun Beds', 'Sun beds']","['Sun Beds (pool)', 'Sun Beds', 'Sun beds']",['Sun Beds (pool)']
Private check in/out,"['Private check in/out', 'Express Check-In/Check-Out', 'Express check in/out', 'Express check-in']","['Private check in/out', 'Express Check-In/Check-Out', 'Express check in/out']",['Private check in/out'],['Private check in/out']
Wired high-speed Internet access (surcharge),"['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Dial-up Internet access - complimentary', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Wired Internet', 'Internet access-high speed', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Dial-up Internet access (surcharge)', 'Internet access-high speed', 'Free high-speed Internet access', 'High-speed broadband and wireless Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Wireless Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Dial-up Internet access (surcharge)', 'Internet access-high speed', 'High-speed broadband and wireless Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Wireless Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'Wired (high-speed) Internet access - surcharge']"
Breakfast available (surcharge),"['Breakfast available (surcharge)', 'Parking limited (surcharge)', 'Complimentary Breakfast']",['Breakfast available (surcharge)'],['Breakfast available (surcharge)'],['Breakfast available (surcharge)']
Gymnasium,['Gymnasium'],['Gymnasium'],['Gymnasium'],['Gymnasium']
Clubhouse,['Clubhouse'],['Clubhouse'],['Clubhouse'],['Clubhouse']
Premium TV channels,"['Premium TV channels', 'Cable/satellite TV', 'TV with satellite / Cable TV channels', 'LCD television with multi channel cable']","['Premium TV channels', 'TV with satellite / Cable TV channels']",['Premium TV channels'],['Premium TV channels']
Living Room,"['Living Room', 'Living Room and Bed Room', 'In room safe', 'Separate living room', 'Sofa in the room', 'In-room safe (some rooms)', 'TVLiving Room', 'Separate dining room', 'Shared bathroom with sink in room', '250 room space for double room, with Wify,', 'In-room safe']","['Living Room', 'Living Room and Bed Room', 'Separate living room', 'TVLiving Room']","['Living Room', 'Living Room and Bed Room', 'Separate living room']",['Living Room']
24 Hour Check in-Icon,"['24 Hour Check in-Icon', '24 Hour Doctor On Call.', 'Check-Out Time is 12 Noon', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)']",['24 Hour Check in-Icon'],['24 Hour Check in-Icon'],['24 Hour Check in-Icon']
Massages,"['Massages', 'Massage']",['Massages'],['Massages'],['Massages']
Physiotherapy service (on call),"['Physiotherapy service (on call)', 'Wake up call service on request']",['Physiotherapy service (on call)'],['Physiotherapy service (on call)'],['Physiotherapy service (on call)']
Tea coffee maker,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee Shop', 'Coffee/tea in lobby', 'Tea/Coffee Maker']","['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']","['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee Maker']","['Tea coffee maker', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee Maker']"
460 Sq Ft,"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['460 Sq Ft', '260 Sq Ft', '460 Sq. Ft.', 'Room Size: 380 sq m (4090 sq ft)', '350 to 375 sq ft', '250 sq ft', '568 Sq Ft', '440 sq ft']","['460 Sq Ft', '260 Sq Ft', '460 Sq. Ft.', '568 Sq Ft', '440 sq ft']"
24 hour reception,"['24 hour reception', 'Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', '24 hours front desk', '24 hour security', '24-Hour Front Desk', 'Room Service, 24 Hour Reception', '24-hr Room Service', 'Porterage 24 hour', 'Room Service, 24 Hour Reception And Laundry Service', '24 hour concierge', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', '24-hour Room Service']","['24 hour reception', 'Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', 'Room Service, 24 Hour Reception', 'Porterage 24 hour', '24 hour concierge', '24-hour Room Service']","['24 hour reception', 'Room Service, 24 Hour Reception']",['24 hour reception']
123,['123'],['123'],['123'],['123']
Heating,"['Heating', 'Central Heating']","['Heating', 'Central Heating']",['Heating'],['Heating']
Non-smoking rooms,"['Non-smoking rooms', 'Smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking only', 'Non-smoking rooms and areas', 'No smoking rooms', 'All Public and Private spaces non-smoking']","['Non-smoking rooms', 'Smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking only', 'Non-smoking rooms and areas', 'No smoking rooms']","['Non-smoking rooms', 'Smoking rooms', 'Non-Smoking Rooms', 'Non-smoking rooms and areas', 'No smoking rooms']","['Non-smoking rooms', 'Non-Smoking Rooms']"
Hairdresser,['Hairdresser'],['Hairdresser'],['Hairdresser'],['Hairdresser']
Study Table,['Study Table'],['Study Table'],['Study Table'],['Study Table']
Clothes Dryer,"['Clothes Dryer', 'Hair Dryer', 'Washer/dryer']","['Clothes Dryer', 'Hair Dryer']",['Clothes Dryer'],['Clothes Dryer']
Spa services on site - Chargeable,"['Spa services on site - Chargeable', 'Full-service health spa', 'Spa services on site', 'Spa services onsite - Free', 'Spa services nearby', 'Spa services']","['Spa services on site - Chargeable', 'Spa services on site']","['Spa services on site - Chargeable', 'Spa services on site']",['Spa services on site - Chargeable']
Hypo-allergenic bedding available,"['Hypo-allergenic bedding available', 'Hypo-allergenic bedding']","['Hypo-allergenic bedding available', 'Hypo-allergenic bedding']","['Hypo-allergenic bedding available', 'Hypo-allergenic bedding']",['Hypo-allergenic bedding available']
Dinning Table,"['Dinning Table', 'Dining Table', 'Dinning']","['Dinning Table', 'Dining Table']","['Dinning Table', 'Dining Table']",['Dinning Table']
City or Rock Heights Park View,"['City or Rock Heights Park View', 'City view', 'City or Park View']","['City or Rock Heights Park View', 'City or Park View']","['City or Rock Heights Park View', 'City or Park View']",['City or Rock Heights Park View']
Jacuzzi,"['Jacuzzi', 'Sauna', 'Spa tub', 'Jacuzzi Bathtub']","['Jacuzzi', 'Jacuzzi Bathtub']","['Jacuzzi', 'Jacuzzi Bathtub']",['Jacuzzi']
Hot springs/mineral springs,['Hot springs/mineral springs'],['Hot springs/mineral springs'],['Hot springs/mineral springs'],['Hot springs/mineral springs']
King or Twin Beds,"['King or Twin Beds', 'king bed', 'King or Twin Bed', 'King Bed', 'King / Twin Beds']","['King or Twin Beds', 'king bed', 'King or Twin Bed', 'King Bed', 'King / Twin Beds']","['King or Twin Beds', 'King or Twin Bed', 'King / Twin Beds']","['King or Twin Beds', 'King or Twin Bed', 'King / Twin Beds']"
Catering services,"['Catering services', 'Breakfast services', 'Concierge services', 'Spa services', 'Catering', 'Business services']","['Catering services', 'Catering']",['Catering services'],['Catering services']
Shuttle Service,"['Shuttle Service', 'Limousine Service', 'Beach Shuttle Service', 'Shuttle Service (surcharge)', 'Taxi service', 'Shuttle', 'Airport Shuttle (free)', 'Ferry terminal shuttle (complimentary)', 'House Car & Shuttle Service', 'Courtesy Shuttle Service', 'Shuttle Service (free)']","['Shuttle Service', 'Beach Shuttle Service', 'Shuttle Service (surcharge)', 'Courtesy Shuttle Service', 'Shuttle Service (free)']","['Shuttle Service', 'Courtesy Shuttle Service', 'Shuttle Service (free)']",['Shuttle Service']
Casino,['Casino'],['Casino'],['Casino'],['Casino']
"Fax, Scanner & Printer","['Fax, Scanner & Printer', 'Fax, Scanner & Printer Machine']","['Fax, Scanner & Printer', 'Fax, Scanner & Printer Machine']","['Fax, Scanner & Printer', 'Fax, Scanner & Printer Machine']","['Fax, Scanner & Printer', 'Fax, Scanner & Printer Machine']"
Amusement park,"['Amusement park', 'Theme park nearby', 'Park Nearby']",['Amusement park'],['Amusement park'],['Amusement park']
Memory foam mattress,['Memory foam mattress'],['Memory foam mattress'],['Memory foam mattress'],['Memory foam mattress']
Complimentary bottled water,"['Complimentary bottled water', 'Bottled water in room(complimentary)', 'Bottled/drinking water']","['Complimentary bottled water', 'Bottled water in room(complimentary)', 'Bottled/drinking water']","['Complimentary bottled water', 'Bottled water in room(complimentary)']",['Complimentary bottled water']
Western Toilet,['Western Toilet'],['Western Toilet'],['Western Toilet'],['Western Toilet']
Reference library,"['Reference library', 'Library']","['Reference library', 'Library']",['Reference library'],['Reference library']
Bicycle rental (nearby),"['Bicycle rental (nearby)', 'Car Rental Facility', 'Bicycle Rental', 'Car rental facilities']","['Bicycle rental (nearby)', 'Bicycle Rental']","['Bicycle rental (nearby)', 'Bicycle Rental']",['Bicycle rental (nearby)']
Outdoor Restaurants,"['Outdoor Restaurants', 'Indoor Restaurant', 'Indoor Multi Cuisine Restaurant']","['Outdoor Restaurants', 'Indoor Restaurant']",['Outdoor Restaurants'],['Outdoor Restaurants']
Rowing/canoeing,"['Rowing/canoeing', 'Rowing', 'Canoeing', 'Kayaking']","['Rowing/canoeing', 'Rowing', 'Canoeing']","['Rowing/canoeing', 'Canoeing']",['Rowing/canoeing']
18-hole Golf Course,"['18-hole Golf Course', 'Golf course on site', 'Miniature Golf Course', '9-hole Golf Course']","['18-hole Golf Course', '9-hole Golf Course']","['18-hole Golf Course', '9-hole Golf Course']","['18-hole Golf Course', '9-hole Golf Course']"
Business center,"['Business center', '24-hour business center', 'Business Centre', 'Business centre', 'Business services']","['Business center', 'Business Centre', 'Business centre']",['Business center'],['Business center']
Steam bath,"['Steam bath', 'Bath Tub', 'Steam Room', 'Turkish/Steam Bath', 'Steam room']","['Steam bath', 'Turkish/Steam Bath']","['Steam bath', 'Turkish/Steam Bath']",['Steam bath']
Swimming pools,"['Swimming pools', 'Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool (men only)', 'Swimming pool - indoor', 'Private spa pools', 'Swimming pool - outdoor', 'Swiming Pool', 'Hot pools', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool', 'Swimming (nearby)']","['Swimming pools', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Swiming Pool', 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool']","['Swimming pools', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool', 'Swimming pool - indoor', 'Swimming pool - outdoor']","['Swimming pools', 'Swimming pool', 'Swimming Pool']"
Water skiing,"['Water skiing', 'Skiing']",['Water skiing'],['Water skiing'],['Water skiing']
Cruise terminal shuttle (complimentary),"['Cruise terminal shuttle (complimentary)', 'Airport transportation (complimentary)', 'Area shuttle (complimentary)', 'Cruise terminal shuttle (surcharge)', 'Ferry terminal shuttle (complimentary)', 'Shopping center shuttle (complimentary)', 'Airport transfer (complimentary)']","['Cruise terminal shuttle (complimentary)', 'Cruise terminal shuttle (surcharge)', 'Ferry terminal shuttle (complimentary)']","['Cruise terminal shuttle (complimentary)', 'Cruise terminal shuttle (surcharge)', 'Ferry terminal shuttle (complimentary)']",['Cruise terminal shuttle (complimentary)']
Room service (24 hours),"['24 hour reception', 'Room service (24 hours)', '24 Hour Doctor On Call.', 'Room Service from  7:00 to  9:30', '24 hour room service', 'Room Service 24 Hrs', '24 hours front desk', 'Laundry Service Same Day', 'Room Service', '24 hour security', '24-Hour Front Desk', 'Room Service, 24 Hour Reception', 'Room Service 7am-11:30pm', '24-hour business center', 'Room Service 6 Am - 12 Night', '24-hr Room Service', 'Room service', 'Porterage 24 hour', '24 hour business centre', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room Service from 7:00 to 9:30', '24 hour concierge', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', '24-hour fitness facilities', 'Room service(limited hours)', '24-hour Room Service']","['24 hour reception', 'Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', '24 hours front desk', 'Room Service, 24 Hour Reception', 'Room Service 6 Am - 12 Night', '24-hr Room Service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', 'Room service(limited hours)', '24-hour Room Service']","['Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', 'Room Service, 24 Hour Reception', '24-hr Room Service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room service(limited hours)', '24-hour Room Service']","['Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', '24-hour Room Service']"
Personal trainer,['Personal trainer'],['Personal trainer'],['Personal trainer'],['Personal trainer']
Ã?Â©,['Ã?Â©'],['Ã?Â©'],['Ã?Â©'],['Ã?Â©']
Travel deskac,"['Travel deskac', 'Travel Desk', 'Travel desk', 'Travel Assistance', 'Travel & Transfers']",['Travel deskac'],['Travel deskac'],['Travel deskac']
Jet skiing,"['Jet skiing', 'Skiing']",['Jet skiing'],['Jet skiing'],['Jet skiing']
Food Court,"['Food Court', 'Food Court - Pastry Shop']",['Food Court'],['Food Court'],['Food Court']
Complimentary newspapers in lobby,"['Complimentary newspapers in lobby', 'Television in lobby', 'Complimentary Newspaper', 'Complimentary weekday newspaper', 'Complimentary newspaper', 'Firplace in lobby']","['Complimentary newspapers in lobby', 'Complimentary Newspaper', 'Complimentary newspaper']",['Complimentary newspapers in lobby'],['Complimentary newspapers in lobby']
Electronic Safe,['Electronic Safe'],['Electronic Safe'],['Electronic Safe'],['Electronic Safe']
Free WiFi Internet Connectivity,"['Free WiFi Internet Connectivity', 'Free Internet', 'Internet / Wifi', 'Free wired high-speed Internet', 'Chargeable WiFi Internet', 'ADSL Internet service', 'Free Wi-Fi Internet Access Included', 'WiFi Internet Connectivity', 'Broadband Internet Connection', 'Wired Internet', 'Chargeable WiFi Internet Connectivity', 'Wifi EnabledFireplace', 'Free WiFi Internet', 'Broadband Internet', 'Free high-speed Internet access', 'High-speed broadband and wireless Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'WiFi', 'Wireless Internet access (surcharge)', 'Internet access-complimentary', 'Wireless Internet access - surcharge', 'WiFi Internet']","['Free WiFi Internet Connectivity', 'Internet / Wifi', 'WiFi Internet Connectivity', 'Broadband Internet Connection', 'Chargeable WiFi Internet Connectivity', 'Free WiFi Internet', 'High-speed broadband and wireless Internet access', 'Internet access', 'WiFi Internet']","['Free WiFi Internet Connectivity', 'Internet / Wifi', 'WiFi Internet Connectivity', 'Chargeable WiFi Internet Connectivity', 'Free WiFi Internet', 'WiFi Internet']","['Free WiFi Internet Connectivity', 'WiFi Internet Connectivity', 'Free WiFi Internet']"
Theatre,['Theatre'],['Theatre'],['Theatre'],['Theatre']
Sofa Unit,"['Sofa Unit', 'Sofa bed', 'Sofa']",['Sofa Unit'],['Sofa Unit'],['Sofa Unit']
