,similarity_scores_85
Private Beach Area,"['Private Beach Area', 'Private beach']"
Sun Beds (pool),"['Sun Beds (pool)', 'Sun Beds', 'Sun beds']"
Private check in/out,"['Private check in/out', 'Express Check-In/Check-Out', 'Express check in/out']"
Wired high-speed Internet access (surcharge),"['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Dial-up Internet access (surcharge)', 'Internet access-high speed', 'Free high-speed Internet access', 'High-speed broadband and wireless Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Wireless Internet access - surcharge']"
Breakfast available (surcharge),['Breakfast available (surcharge)']
Gymnasium,['Gymnasium']
Clubhouse,['Clubhouse']
Premium TV channels,"['Premium TV channels', 'TV with satellite / Cable TV channels']"
Living Room,"['Living Room', 'Living Room and Bed Room', 'Separate living room', 'TVLiving Room']"
24 Hour Check in-Icon,['24 Hour Check in-Icon']
Massages,['Massages']
Physiotherapy service (on call),['Physiotherapy service (on call)']
Tea coffee maker,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']"
